"name_with_owner","count"
"Aircoookie/WLED","1"
"apache/dubbo-go","4"
"archesproject/arches","5"
"arendst/Tasmota","12"
"aws/aws-sdk-js-v3","3"
"awsdocs/aws-doc-sdk-examples","5"
"ceph/ceph-csi","4"
"cubefs/cubefs","4"
"Dallinger/Dallinger","1"
"DraftBot-A-Discord-Adventure/DraftBot","3"
"epam/ketcher","1"
"fredlcore/BSB-LAN","1"
"GIScience/openrouteservice","3"
"grafana/loki","18"
"kubernetes-sigs/cluster-api-provider-vsphere","2"
"lvgl/lvgl","4"
"MetaMask/metamask-mobile","9"
"microsoft/azuredatastudio","15"
"mullvad/mullvadvpn-app","3"
"navikt/aksel","2"
"netbox-community/netbox","2"
"nextcloud/deck","1"
"nextcloud/polls","1"
"NVIDIA/NeMo","15"
"online-go/online-go.com","2"
"pingcap/docs","9"
"pokeclicker/pokeclicker","2"
"postmanlabs/postman-docs","6"
"primer/react","3"
"reframe-hpc/reframe","2"
"RetroAchievements/RAWeb","2"
"rotki/rotki","2"
"SAP/ui5-webcomponents","10"
"scrtlabs/SecretNetwork","1"
"smallstep/certificates","2"
"Smithay/smithay","2"
"SUI-Components/sui","1"
"SUI-Components/sui-components","3"
"suttacentral/suttacentral","1"
"TanStack/query","2"
"texstudio-org/texstudio","3"
"TurningWheel/Barony","1"
"umijs/umi","7"
"vueuse/vueuse","4"
"WalletConnect/walletconnect-monorepo","2"
"weaviate/weaviate","2"
"weseek/growi","4"
"wwmm/easyeffects","1"
"xamarin/xamarin-macios","3"
"yuzu-emu/yuzu","7"
