"name_with_owner","login","first_commit_day"
"Aircoookie/WLED","blazoncek","1453.49"
"apache/dubbo-go","justxuewei","1016.36"
"apache/dubbo-go","zouyx","416.29"
"apache/dubbo-go","Patrick0308","506.57"
"apache/dubbo-go","LaurenceLiZhixin","792.74"
"archesproject/arches","njkim","1151.76"
"archesproject/arches","aarongundel","1997.3"
"archesproject/arches","chrabyrd","1660.03"
"archesproject/arches","whatisgalen","1122.76"
"archesproject/arches","stickler-ci","916.59"
"arendst/Tasmota","gemu2015","541.28"
"arendst/Tasmota","Jason2866","515.08"
"arendst/Tasmota","curzon01","571.2"
"arendst/Tasmota","bovirus","1157.83"
"arendst/Tasmota","emontnemery","545.11"
"arendst/Tasmota","Staars","507.98"
"arendst/Tasmota","s-hadinger","810.74"
"arendst/Tasmota","stefanbode","982.12"
"arendst/Tasmota","blakadder","756.47"
"arendst/Tasmota","ascillato","405.62"
"arendst/Tasmota","barbudor","1125.07"
"arendst/Tasmota","ascillato2","495.81"
"aws/aws-sdk-js-v3","trivikr","649.31"
"aws/aws-sdk-js-v3","srchase","650.06"
"aws/aws-sdk-js-v3","kuhe","1838.97"
"awsdocs/aws-doc-sdk-examples","brmur","1311.38"
"awsdocs/aws-doc-sdk-examples","scmacdon","1176.5"
"awsdocs/aws-doc-sdk-examples","Laren-AWS","1192.64"
"awsdocs/aws-doc-sdk-examples","beqqrry-aws","1846.98"
"awsdocs/aws-doc-sdk-examples","irenepsmith","1551.55"
"ceph/ceph-csi","humblec","372.96"
"ceph/ceph-csi","Rakshith-R","1164.36"
"ceph/ceph-csi","Madhu-1","372.36"
"ceph/ceph-csi","nixpanic","563.12"
"cubefs/cubefs","mervinkid","291.28"
"cubefs/cubefs","Victor1319","597.61"
"cubefs/cubefs","leonrayang","760.72"
"cubefs/cubefs","sejust","1232.12"
"Dallinger/Dallinger","fmhoeger","1658.77"
"DraftBot-A-Discord-Adventure/DraftBot","romain22222","703.61"
"DraftBot-A-Discord-Adventure/DraftBot","Feiryn","1128.81"
"DraftBot-A-Discord-Adventure/DraftBot","niqore","475.31"
"epam/ketcher","AndreiMazol","1029.75"
"fredlcore/BSB-LAN","dukess","1161.26"
"GIScience/openrouteservice","koebi","1054.2"
"GIScience/openrouteservice","MichaelsJP","564.72"
"GIScience/openrouteservice","takb","488.01"
"grafana/loki","chaudum","1236.32"
"grafana/loki","Red-GV","1114.98"
"grafana/loki","kavirajk","908.52"
"grafana/loki","jeschkies","928.61"
"grafana/loki","salvacorts","1315.74"
"grafana/loki","owen-d","578.43"
"grafana/loki","dannykopping","991.61"
"grafana/loki","trevorwhitney","1106.03"
"grafana/loki","rfratto","454.55"
"grafana/loki","liguozhong","989.79"
"grafana/loki","MichelHollands","968.73"
"grafana/loki","MasslessParticle","1204.63"
"grafana/loki","cstyan","731.61"
"grafana/loki","xperimental","1411.89"
"grafana/loki","cyriltovena","366.34"
"grafana/loki","DylanGuedes","1270.61"
"grafana/loki","sandeepsukhani","354.21"
"grafana/loki","periklis","782.8"
"kubernetes-sigs/cluster-api-provider-vsphere","srm09","871.4"
"kubernetes-sigs/cluster-api-provider-vsphere","yastij","381.3"
"lvgl/lvgl","FASTSHIFT","1865.21"
"lvgl/lvgl","embeddedt","879.86"
"lvgl/lvgl","amirgon","894.96"
"lvgl/lvgl","C47D","874.72"
"MetaMask/metamask-mobile","andrepimenta","626.93"
"MetaMask/metamask-mobile","cortisiko","1169.63"
"MetaMask/metamask-mobile","tommasini","1319.4"
"MetaMask/metamask-mobile","sethkfman","983.27"
"MetaMask/metamask-mobile","blackdevelopa","1292.71"
"MetaMask/metamask-mobile","wachunei","760.52"
"MetaMask/metamask-mobile","rickycodes","543.46"
"MetaMask/metamask-mobile","gantunesr","1428.86"
"MetaMask/metamask-mobile","Cal-L","1105.66"
"microsoft/azuredatastudio","cssuh","954.62"
"microsoft/azuredatastudio","SakshiS-harma","751.35"
"microsoft/azuredatastudio","barbaravaldez","882.35"
"microsoft/azuredatastudio","lewis-sanchez","1367.98"
"microsoft/azuredatastudio","smartguest","703.96"
"microsoft/azuredatastudio","Benjin","649.13"
"microsoft/azuredatastudio","lucyzhang929","600.92"
"microsoft/azuredatastudio","Charles-Gagnon","485.15"
"microsoft/azuredatastudio","brian-harris","1294.59"
"microsoft/azuredatastudio","VasuBhog","979.35"
"microsoft/azuredatastudio","udeeshagautam","448.1"
"microsoft/azuredatastudio","csigs","1176.67"
"microsoft/azuredatastudio","MaddyDev","490.58"
"microsoft/azuredatastudio","aasimkhan30","670.23"
"microsoft/azuredatastudio","kisantia","391.22"
"mullvad/mullvadvpn-app","albin-mullvad","1363.94"
"mullvad/mullvadvpn-app","dlon","649.26"
"mullvad/mullvadvpn-app","raksooo","765.51"
"navikt/aksel","andnorda","1166.67"
"navikt/aksel","KenAJoh","1043.29"
"netbox-community/netbox","lampwins","686.22"
"netbox-community/netbox","DanSheps","813.67"
"nextcloud/deck","jakobroehrl","696.14"
"nextcloud/polls","dartcafe","555.81"
"NVIDIA/NeMo","michalivne","703.01"
"NVIDIA/NeMo","PeganovAnton","459.59"
"NVIDIA/NeMo","anteju","1061.63"
"NVIDIA/NeMo","Zhilin123","915.37"
"NVIDIA/NeMo","MaximumEntropy","472.07"
"NVIDIA/NeMo","fayejf","298.05"
"NVIDIA/NeMo","aklife97","598.21"
"NVIDIA/NeMo","tango4j","697.3"
"NVIDIA/NeMo","arendu","1115"
"NVIDIA/NeMo","XuesongYang","1010.32"
"NVIDIA/NeMo","stevehuang52","1003.24"
"NVIDIA/NeMo","yidong72","854.36"
"NVIDIA/NeMo","vadam5","618.42"
"NVIDIA/NeMo","rlangman","1081.54"
"NVIDIA/NeMo","bmwshop","861.31"
"online-go/online-go.com","BHydden","826.22"
"online-go/online-go.com","benjaminpjones","1336.25"
"pingcap/docs","lilin90","402.51"
"pingcap/docs","ran-huang","1294.8"
"pingcap/docs","morgo","758.58"
"pingcap/docs","TomShawn","933.67"
"pingcap/docs","yikeke","715.41"
"pingcap/docs","hfxsd","1836.58"
"pingcap/docs","CaitinChen","558.49"
"pingcap/docs","dveeden","1560.99"
