"URL","name_with_owner","language","stars","forks","num_topics","topics","size","created_at","type","archived","first_commit","first_workflow","first_run","commit_to_workflow","commit_to_run","last_commit","workflow_to_last","commit_to_last","avg_commits","total_commits","issues","prs","core_devs","non_core_devs","contributor_commits","avg_build_mins","commits_per_day","avg_days_broken_fix"
"https://api.github.com/repos/smallstep/certificates","smallstep/certificates","Go",5495,375,12,"{acme,acme-server,ca,certificate-authority,certificates,go,pki,security,security-tools,ssh,tls,x509}",41309,"2018-11-01 03:44:28","Organization","false","2018-11-01 03:55:16","2022-09-23 10:30:54","2023-10-30 15:58:12","46.59","59.81","2023-11-08 19:16:31","13.49","60.25","54.24",3991,358,766,4,63,3634,"6.37","2.19","0"
"https://api.github.com/repos/kubernetes/kops","kubernetes/kops","Go",15106,4617,5,"{cncf,containers,go,kops,kubernetes}",393562,"2016-06-27 22:01:15","Organization","false","2016-06-28 00:22:36","2020-04-28 01:45:40","2023-05-26 06:02:41","45.86","82.79","2023-11-12 07:48:33","42.38","88.41","44.92",20573,4795,11041,12,372,17251,"5.93","7.82","0"
"https://api.github.com/repos/texstudio-org/texstudio","texstudio-org/texstudio","C++",2287,321,6,"{editor,ide,latex,latex-editor,tex,texstudio}",237194,"2017-11-28 18:07:20","Organization","false","2017-11-28 20:19:54","2020-08-22 06:26:31","2023-11-07 18:57:15","32.66","71.14","2023-11-12 17:49:07","38.68","71.3","42.49",11161,1897,878,5,96,4291,"2.9","2.51","0"
"https://api.github.com/repos/apache/dubbo-go","apache/dubbo-go","Go",4516,876,5,"{go,http2,microservices,rpc,service-mesh}",90959,"2018-08-08 05:30:36","Organization","false","2018-08-08 05:30:37","2020-09-14 01:29:51","2023-11-18 04:17:27","25.18","63.29","2023-11-05 04:23:55","37.68","62.89","47.97",8865,603,1764,7,147,7387,"2.34","2.69","0"
"https://api.github.com/repos/suttacentral/suttacentral","suttacentral/suttacentral","JavaScript",117,22,6,"{api,arangodb,docker,flask,lit,python}",274678,"2017-04-24 21:00:39","Organization","false","2017-04-24 21:20:10","2021-03-11 23:04:48","2023-11-10 06:42:40","46.42","78.42","2023-11-10 10:59:57","31.87","78.43","268.22",6350,966,1715,3,20,6169,"4.4","1.84","0"
"https://api.github.com/repos/NVIDIA/NeMo","NVIDIA/NeMo","Python",7529,1729,16,"{asr,deep-learning,language-model,machine-translation,neural-network,nlp,nlp-machine-learning,nmt,speaker-diarization,speaker-recognition,speech-recognition,speech-synthesis,speech-to-text,text-normalization,text-to-speech,tts}",231567,"2019-08-05 20:16:42","Organization","false","2019-08-06 23:45:03","2021-12-10 14:07:41","2023-11-20 19:17:05","28.06","51.41","2023-11-09 14:55:27","22.84","51.04","22.82",5936,1786,5429,27,216,5546,"1.89","2.81","0"
"https://api.github.com/repos/Dallinger/Dallinger","Dallinger/Dallinger","Python",113,36,3,"{automation,research,science}",16761,"2016-09-05 21:46:04","Organization","false","2016-09-05 23:25:30","2021-02-09 10:09:00","2023-11-21 11:42:03","53.04","86.48","2023-11-08 14:14:09","32.78","86.06","290.96",8630,449,5007,5,19,6983,"8.43","3.68","0"
"https://api.github.com/repos/saulpw/visidata","saulpw/visidata","Python",6727,253,18,"{cli,csv,datajournalism,datawrangling,devops-tools,eda,hdf5,json,opendata,pandas,python,reconciliation,spreadsheet,sqlite,tabular-data,tsv,tui,unix-toolkit}",19816,"2016-10-27 04:21:00","User","false","2016-11-06 06:13:30","2022-07-31 13:47:38","2023-11-12 01:45:04","68.72","84.19","2023-11-08 03:37:29","15.21","84.06","87",7115,1258,520,2,79,7047,"3.15","2.93","0"
"https://api.github.com/repos/vueuse/vueuse","vueuse/vueuse","TypeScript",16232,2036,7,"{composable,utility-library,vue,vue-composition-api,vue-next,vue-use,vue3}",11013,"2019-12-14 06:44:59","Organization","false","2019-12-14 08:50:43","2022-04-07 14:43:50","2023-11-14 10:04:39","27.75","46.84","2023-11-10 08:47:16","18.99","46.74","5.96",2873,1296,1864,6,452,2731,"9.77","1.86","0"
"https://api.github.com/repos/MetaMask/metamask-mobile","MetaMask/metamask-mobile","JavaScript",1699,911,7,"{android,dapps-browser,ios,javascript,metamask,react-native,web3}",192057,"2018-07-18 11:47:08","Organization","false","2018-07-18 21:11:03","2021-10-13 10:29:55","2023-08-17 09:43:36","38.81","60.97","2023-11-10 22:42:37","24.94","63.72","21.15",2830,2504,4332,10,99,2305,"4.83","1.91","0"
