"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core"
"Aircoookie/WLED","720abd4e0499fa06d528a61f1ff5128b85af3b0b","softhack007","2023-09-10 14:54:59","false","version bump 0.14.0-b5

preparations for releasing -beta5",47,80,1,0
"Aircoookie/WLED","0f3b95802db613a763ced5af9f14263379744dae","blazoncek","2022-01-23 10:43:39","false","UI tweaks.",300,61,1,1
"Aircoookie/WLED","61eb7b0a6a0314ad4c3ec588e2742aa0a5f4cd2a","blazoncek","2023-04-29 15:04:16","false","Waving Cell FX",67,76,1,1
"Aircoookie/WLED","4e83752655062c483a68138a5a40a7dcfb314c26","blazoncek","2023-08-17 14:24:47","false","Merge branch 'main' into fx-blending",54,80,1,1
"Aircoookie/WLED","5f86a8a15bdac4820b84c98989ae59d82aa254c8","blazoncek","2021-05-21 11:59:33","true","Merge branch 'master' into multi-button",414,53,1,1
"Aircoookie/WLED","916ad0a58e5fd1ef159501d1228467ded9c57fa2","blazoncek","2021-08-26 07:09:41","false","Merge branch 'master' into dev",290,56,1,1
"Aircoookie/WLED","1d897e491a9d25180cfc98d5e9da73d733f84834","srg74","2020-01-18 22:31:36","false","Update readme.md",181,37,0,0
"Aircoookie/WLED","9609b48f2f1a3837ef956d94e14377ccae6871eb","blazoncek","2021-08-21 10:22:26","false","Added UDP sync groups.",302,56,1,1
"Aircoookie/WLED","e128c3094a0d75ec12e483731164ee7ab4281de2","blazoncek","2022-12-31 17:58:52","false","Typo fix.",113,72,1,1
"Aircoookie/WLED","e1cd45c57ef47c815a2d6f1f36e70c05b18a5b47","blazoncek","2021-12-10 11:51:44","false","Bugfix for heap low disconnect.",295,59,1,1
"Aircoookie/WLED","8719adef1efebccbdca54632d7d99f2be110976d","blazoncek","2022-08-30 15:20:58","false","Tetrix vStrip 2D modification.
AA version of Bouncing balls
Better AA",171,68,1,1
"Aircoookie/WLED","7652336c840bffced2fe29271f378898c1fcfbc8","blazoncek","2021-05-16 15:25:32","false","Added information regarding state of PIR sensor.",411,53,1,1
"Aircoookie/WLED","22c1f4bb4e3aa6d963547489fcf5bc236226e28d","srg74","2020-01-01 00:53:25","true","Update readme.txt

Minor editing",204,36,0,0
"Aircoookie/WLED","e29be737f7f5a966ddac5b00bc4544dadce60769","ewoudwijma","2022-09-02 16:14:28","false","Drip to virtualstrip correction",170,68,1,0
"Aircoookie/WLED","ce6b5105c6dca84e572d0fe5d3426a1f878e9614","blazoncek","2021-05-03 20:50:55","false","Fix for MQTT topic for temperature F.",402,52,1,1
"Aircoookie/WLED","5ca1e9268c21ced2b7a5104af55e91ea9239053e","srg74","2020-02-21 01:49:33","true","Update readme.md",217,38,0,0
"Aircoookie/WLED","07428922c3829ef3f621c7a09d326aa26bae8783","blazoncek","2021-03-14 21:34:27","false","Auto refreshing UI every 15secons.",346,51,1,1
"Aircoookie/WLED","8cfa5ba39e26202de2193e7f79f87c83aca3b34a","blazoncek","2021-10-16 13:45:04","false","Fix simple CSS.
Add WELD community link.",253,57,1,1
"Aircoookie/WLED","392277100c80ab9be062c71345d6d8361189e188","Aircoookie","2020-02-23 01:18:25","false","Release of WLED v0.9.1",215,38,0,1
"Aircoookie/WLED","77f04d913a9347a58862bd737c6c04f0275b0afe","blazoncek","2022-11-11 13:39:47","false","NetworkDebugPrinter packet optimization.",114,70,1,1
