"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core"
"KhronosGroup/glTF-Blender-IO","ac3f38d92f2fd20bec64e63d0c09aa45f7f3fb4d","julienduroure","2022-06-03 15:01:46","false","Fix regression for base color",47,47,1,1
"KhronosGroup/glTF-Blender-IO","29ab316c42cf7fe186b9e98d26a4e4bf461b75eb","emackey","2019-07-20 16:23:49","true","Merge pull request #596 from samipe/patch-1

Fix broken documentation link in README",122,12,0,1
"KhronosGroup/glTF-Blender-IO","0027b2a4900c3c3669ea569ae3f5de9479188f81","emackey","2020-01-22 22:49:49","true","Merge pull request #883 from scurest/export-image-formats

Export: implement image options change (#882)",117,18,0,1
"KhronosGroup/glTF-Blender-IO","5c0a07dc7361c5b6215cb515b70fee1f330dfffe","julienduroure","2023-09-25 10:11:07","false","Bump to 4.0.27",12,62,1,1
"KhronosGroup/glTF-Blender-IO","2fabf737c5cd8cc39d9e841fab13813c8362a2ad","julienduroure","2023-11-06 17:52:26","false","Merge branch 'blender-v4.0-release'",0,64,1,1
"KhronosGroup/glTF-Blender-IO","d5b6052506445ab092dce3708175fcd8902d4073","julienduroure","2022-08-10 09:47:10","false","Fix typos from Blender repo",50,49,1,1
"KhronosGroup/glTF-Blender-IO","ef012060255cbcd11e69074cd6efbaa0cd39410a","julienduroure","2022-05-24 19:25:03","false","Bump to 3.3.2",48,46,1,1
"KhronosGroup/glTF-Blender-IO","7aaa74fa51fb0545f04a5a3354299439490ec543","julienduroure","2022-10-21 16:48:45","false","Bump to 3.4.40",40,51,1,1
"KhronosGroup/glTF-Blender-IO","9aec078d65161f128b29a83d4157a50bcf668407","emackey","2019-02-14 02:02:27","false","Tweaks",103,7,0,1
"KhronosGroup/glTF-Blender-IO","a16ed8e97edc942859c613b684debeb00079211d","UX3D-becher","2018-11-22 09:22:22","false","cleanup container classes",56,4,0,0
"KhronosGroup/glTF-Blender-IO","ce4e5cd1328c9b6d48aaad7ce68b5189acc5fc29","emackey","2020-01-12 19:40:29","false","Lock tests to version 2.82, for the 2.82 release branch.",118,18,0,1
"KhronosGroup/glTF-Blender-IO","7f59ac96056ecba8ec696e36f2c22beb8466658f","julienduroure","2021-07-04 15:55:53","false","Bump to 1.7.16",90,36,1,1
"KhronosGroup/glTF-Blender-IO","74ec2e7ddff39f27b2150182d1b3423e75ab8524","emackey","2019-04-29 14:45:12","false","Update README.md",117,9,0,1
"KhronosGroup/glTF-Blender-IO","ded9b718de1c87eddb05382c03ea4def49619cdc","scurest","2021-05-20 19:36:44","false","CI: error out if no URL found (fix #1320)",90,34,1,0
"KhronosGroup/glTF-Blender-IO","a9625eb36a6890dcf0182597f21c87047a7f037c","julienduroure","2021-12-12 06:50:44","false","Fix #1475 perf",89,41,1,1
"KhronosGroup/glTF-Blender-IO","ee1815486c2fa241d37050897e6001150c0a9da5","julienduroure","2022-12-21 16:13:01","false","Manage slide to 0 option for scene mode",45,53,1,1
"KhronosGroup/glTF-Blender-IO","60c634eac89a4cef444cfcd8204bdf797db2f5cb","julienduroure","2022-03-31 19:17:57","false","Bump tp 3.2.22",48,44,1,1
