"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core"
"SamR1/FitTrackee","0fd5efdec68549ff27a45cd37107970be30c7a37","SamR1","2023-08-23 10:05:28","false","Merge branch 'master' into dev",1,77,1,1
"SamR1/FitTrackee","10d9f82c70705043c5750a08ec44bca624c2c249","SamR1","2022-02-05 21:46:48","false","Merge branch 'release-v0.5.6'",8,58,0,1
"SamR1/FitTrackee","13995a2dc21e2a1e68a772ad21600a8fe6fdd5f3","SamR1","2021-11-29 17:24:22","false","update documentation",9,56,0,1
"SamR1/FitTrackee","98aa80788b4f3d94c21ce6cf42f1df6c5aacb745","SamR1","2021-09-29 16:41:51","false","Client - improve dashboard display on mobile",7,54,0,1
"SamR1/FitTrackee","e6bb8637d21d3be7d8cbe9797f3f412bd246c333","SamR1","2023-10-03 08:48:55","false","update package metadata",1,78,1,1
"SamR1/FitTrackee","3af6b3af3723796280bb5566d874e4ada42d2776","SamR1","2022-11-30 09:28:59","false","Client - fix oauth2 translations",4,68,1,1
"SamR1/FitTrackee","c0e4cc64bd7114d066ba650a7edd2147ef8f246d","SamR1","2019-07-14 18:44:10","false","update documentation",9,27,0,1
"SamR1/FitTrackee","ace28a69af4a7049b4d4dbe4b4cbe9a64f0a00f9","SamR1","2018-07-04 12:13:19","false","store user picture w/ relative path instead of absolute path",8,15,0,1
"SamR1/FitTrackee","85e9ce8a771672968d71c75db891d0ff52036aa8","SamR1","2021-01-20 17:09:46","false","API - add missing tests on production config",4,45,0,1
"SamR1/FitTrackee","eb57935b586134f52bc534728e94e6db893c9935","SamR1","2022-11-16 10:01:31","false","Client - move input sanitization in utils",5,67,1,1
"SamR1/FitTrackee","abe2b67fae634c66732942bda7a1b76e4ed34bc0","SamR1","2023-07-13 07:59:25","false","Client - update paragliding icon",2,75,1,1
"SamR1/FitTrackee","dda193fd13174a5592beff8ede560b340541be87","SamR1","2018-06-12 11:23:58","false","Client: minor fix",5,14,0,1
"SamR1/FitTrackee","b28ea324f9b5ba58f41fab35792dfc43074c8ffc","SamR1","2020-02-07 12:06:03","false","Client - update users list - #15",6,34,0,1
"SamR1/FitTrackee","312104e87aff8f0ee6b330a3b75319373129db66","SamR1","2022-07-27 07:05:54","false","update client dist files",6,64,1,1
"SamR1/FitTrackee","30f112c094a04bd846d3a3cd32fb0f590bba4601","SamR1","2018-06-06 18:17:37","false","API & Client: chart with month activities on dashboard - #9 (WIP)",8,14,0,1
"SamR1/FitTrackee","b5b4ac8f92c70039275c93253a9c674d93e52055","SamR1","2022-03-19 19:34:36","false","API - refacto + remove unused endpoint for now",9,59,0,1
"SamR1/FitTrackee","1bede62d804c94b4cded2df31e6bddc25cf2ad64","SamR1","2021-11-10 20:19:27","false","Client - use <script setup> in components",12,55,0,1
"SamR1/FitTrackee","36ded61e36d940cf46465b4aa52d66d211112a3a","SamR1","2020-07-15 07:19:03","false","update Makefile",7,39,0,1
"SamR1/FitTrackee","147545b0c4120f5bc83dfc40c5b09595359f1c89","SamR1","2022-12-31 15:58:57","false","build client dist files",2,69,1,1
"SamR1/FitTrackee","bc6ffb349a4def9ecc5de132b1b12316299ca1a4","SamR1","2023-08-19 07:27:48","false","build dist files",1,76,1,1
"SamR1/FitTrackee","8467274e8773f0d7f49e4a1b082aa84af88a1ddf","SamR1","2023-05-30 09:24:02","false","Client - update fr translation",3,74,1,1
"SamR1/FitTrackee","06ae5e744e811320ffb2fa4e6f6e477de9d931f6","SamR1","2019-01-13 11:04:07","false","update Python deps",10,21,0,1
"SamR1/FitTrackee","1347432880fd5acfb936f7e3b0b31136272eb039","SamR1","2023-07-22 09:51:12","false","Merge branch 'release-v0.7.20'",2,76,1,1
"SamR1/FitTrackee","e82dcad39434c1bbda65b1b9a420b6eb2a355162","SamR1","2018-01-13 13:36:07","false","test.sh update

test.sh update

test.sh update

test.sh update

test.sh update

test.sh update

test.sh update",0,9,0,1
"SamR1/FitTrackee","5ab293b9e75648770b47ca499c417833ab942d89","SamR1","2021-09-08 16:56:16","false","Client - init store for users workouts displayed in timeline",7,53,0,1
"SamR1/FitTrackee","1d458615ae390663256ae5a95de21d37ed9cd2d6","SamR1","2018-12-30 14:38:30","false","update Python dependencies",12,21,0,1
"SamR1/FitTrackee","833be1b481623a3c5b067992d704bd63c1961cf6","SamR1","2021-11-14 22:15:32","false","Merge branch 'master' into dev",6,55,0,1
"SamR1/FitTrackee","d3d08b69dd25f0f07b1f407efcc2861a78bf69f5","SamR1","2022-05-27 14:02:05","false","API - refacto",6,62,1,1
