"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci"
"SUI-Components/sui-components","e5af9c430f1064be191f61b10beb7ebab490819e","davidbarna","2017-10-09 13:10:01","false","release(topbar/composable): v1.3.0",4,10,0
"SUI-Components/sui-components","56b6968b296296041bb286eb348c90c946c7a730","carlosvillu","2017-10-04 16:22:10","false","feat(tooltip/basic): migrate to PropTypes package",4,10,0
"SUI-Components/sui-components","94168cde9350b468effcd6f62459876a187c7cd1","carlosvillu","2017-10-04 15:30:01","false","feat(list/image): migrate to PropTypes package",4,10,0
"SUI-Components/sui-components","3280555db6a9a44817cbb3ba9a07547553b41620","Alverd04","2021-12-02 14:19:23","true","Merge pull request #1913 from SUI-Components/feature/SCMI-67339/exceedValueProp

Feature/scmi 67339/exceed value prop",19,60,1
"SUI-Components/sui-components","c26ad89dd06783092efd8e901e4e4e673d759d44","jordevo","2020-05-29 10:18:21","false","feat(molecule/photoUploader): add assets folder to .npmignore",1,42,0
"SUI-Components/sui-components","e0bcfdd83e24c35ea66ed2f82c846db9de42495d","jordevo","2020-05-29 10:18:18","false","feat(atom/helpText): add assets folder to .npmignore",1,42,0
"SUI-Components/sui-components","27bc7a3a37aa24ffee84cc26103baf727c4e7bf0","davecarter","2019-10-10 16:45:13","false","docs(molecule/notification): updates README file",12,34,0
"SUI-Components/sui-components","ab1e0fb15022650c8f1ee73c49906d2ce9ef7a59","delalama","2021-10-15 08:03:17","false","feat(components/atom/label): deleted duplicate import

wrong last commit fixed

ISSUES CLOSED: 1752",37,59,1
"SUI-Components/sui-components","19fc17ac1804f81373f3cd7127e8523ab0ac14fa","turolopezsanabria","2021-07-15 08:56:53","true","Improving proposal for DoD",13,56,1
"SUI-Components/sui-components","fab46792a49fa80c35406e39e02312de76767fab","arnau-rius","2020-03-20 10:39:56","true","Merge pull request #1035 from SUI-Components/feat/SUIC-434-atom-textarea-add-focus

Feat/suic 434 add tokens to atom/textarea, molecule/radioButtonField and molecule/select",1,40,0
"SUI-Components/sui-components","409f668b4f730a7f36c6743f5069970db65cc62d","AgonisticKatai","2022-03-14 16:52:57","true","Merge pull request #2070 from SUI-Components/fix/atom-panel-base-class

fix(components/atom/panel): fix base class definition",10,64,1
"SUI-Components/sui-components","102f308aeae551fa2dd7d847769144a5e1598617","AgonisticKatai","2019-03-06 07:37:36","true","Merge pull request #650 from SUI-Components/feature/prevent-image-padding

feat(atom/image): prevent image padding",7,27,0
"SUI-Components/sui-components","59707f936868b54c666f28821c91ede2a5bf3cdc","davidmartin84","2019-12-05 14:44:22","false","release(atom/popover): v1.1.0",11,36,0
"SUI-Components/sui-components","3d2ce52f8d994cf6077ee47789dc6655a448843d","AitorRodriguez990","2020-11-30 15:33:50","false","fix(molecule/dataCounter): icons and demo",16,48,1
"SUI-Components/sui-components","a58dd7d8068dfccc02506b7e0b1bc5f159b8679f","a-ferrante","2019-10-21 14:10:13","false","feat(molecule/autosuggestField): update prop name and ussage",12,35,0
