"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci"
"Smithay/smithay","546ff48af5dae31d091c888e4a240b1e08cf6c19","YaLTeR","2020-02-03 13:23:04","true","anvil.window_map: add WindowMap::geometry",15,36,0
"Smithay/smithay","533a006bd1be4baf0463345c004676cf77e83cf5","YaLTeR","2020-02-03 12:16:00","true","anvil.window_map: fix bbox computation

It said max_y = y + w instead of y + h.",15,36,0
"Smithay/smithay","0fe2871928b8e01b9084bcb44c5f2fff20201645","chrisduerr","2023-05-07 03:11:01","false","Add ext-session-lock protocol support

This adds support for the ext-session-lock protocol, which allows
clients to lock the Wayland session and present surfaces of their choice
as lockscreens.

Add check for pending buffers

Add check for preexisting lock surface role

Fix variable name typo",4,76,1
"Smithay/smithay","43bc0d6c2d2497c3691707006ea1924bfe5b7f99","Drakulix","2022-11-16 21:30:59","false","backend/renderer: Return of the `Frame`",18,70,1
"Smithay/smithay","50741bc7bba58c9808a5fd7a9b3681e0f1bda2fd","Drakulix","2021-06-29 21:14:43","false","Rework `InputBackend` abstractions to track individual devices

Removes the notion of Seats from `InputBackend` and replaces it with
`DeviceAdded` and `DeviceRemoved` events allowing compositors to
descriminate between single devices.

A new abstraction to model multiple seats on a single input backend
may be be added separately at a later time.",13,53,1
"Smithay/smithay","a4203bd216bb6534a2e8ca35ed6e1d5edc61e24c","Drakulix","2020-04-26 11:52:31","false","examples/anvil: add disable_connectors for device creation",22,39,1
"Smithay/smithay","b68c9ebc12e58f04583500e881e4bd6b69ab9c8d","Drakulix","2022-07-19 16:42:01","true","Merge pull request #671 from Smithay/fix/grab_motion_events

Fix grab motion events",16,66,1
"Smithay/smithay","d8244bf085fdcbc461c8684f99bf2b63ab3f4f48","Drakulix","2022-03-01 18:25:13","true","Merge pull request #504 from Smithay/fix/clippy

clippy fixes",18,61,1
"Smithay/smithay","b297c93edc071e4130543b010cc962c8d865676f","Drakulix","2022-11-17 16:26:55","true","Merge pull request #818 from Smithay/deps/ci_calloop_10_3

ci: Use newest calloop version 0.10.3",18,70,1
"Smithay/smithay","7761864965a74e28f5fd2662cfa22ce33718c1c0","Drakulix","2023-05-09 08:50:11","true","Merge pull request #1014 from PolyMeilex/destruct-hook-state",4,76,1
"Smithay/smithay","93a2d8edb52d23d79982224685c91c95a5d67c3a","Drakulix","2022-10-18 11:42:57","true","Merge pull request #777 from Smithay/feature/current_focus

input: Add a way to retrieve current focus",18,69,1
"Smithay/smithay","3aab0476a437393ac6224e5eb914e3790c736789","Drakulix","2023-06-11 08:32:31","true","Merge pull request #1048 from chrisduerr/exposed",8,77,1
"Smithay/smithay","2cc401594da99ad1080a76231ea3715cc7afbe19","Drakulix","2017-04-15 20:02:44","false","Add pointer button event passing",6,3,0
"Smithay/smithay","bd4634e0c6354067d7c47947061e33db96d79c62","Drakulix","2023-03-06 19:00:43","true","Merge pull request #919 from PolyMeilex/drm-mode-to-wl-mode

Add from DRM mode to smithay output mode conversion",18,74,1
"Smithay/smithay","e3f3483491a9901e2b6783de01427f347b5912a3","Drakulix","2023-01-21 03:20:30","true","Merge pull request #866 from bwidawsk/minigbm",17,72,1
