"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci"
"relative-ci/bundle-stats","4b00a673dd1f1d74c13a2dfffb6e712cd4c4ff46","vio","2020-04-30 20:50:47","true","Merge pull request #724 from relative-ci/renovate/babel-monorepo

chore(deps): update babel monorepo to v7.9.6",23,27,0
"relative-ci/bundle-stats","e9c8daaa98e16f25b3fb4ff36a43ac2458bc7485","vio","2018-02-18 21:33:37","false","feat(lighthouse): Add lighthouse metrics

Rel: #23",9,0,0
"relative-ci/bundle-stats","9dce99338ce535283b980a36e6b69b3bf959052c","vio","2021-12-07 19:39:53","false","enhance(ui): Colorscheme - decrease contrast for titles",20,46,0
"relative-ci/bundle-stats","33eb5a3813a28a047ad2da0711ff7ec488bcd41d","vio","2020-04-21 05:31:02","true","Merge pull request #712 from relative-ci/renovate/jest-monorepo

Update jest monorepo to v25.4.0",23,26,0
"relative-ci/bundle-stats","46992f71d6f81742572486e45116f5a9e8b63b0d","vio","2019-05-19 18:01:03","false","fix(build): Add missing dependencies",3,15,0
"relative-ci/bundle-stats","77a0666b14942226678ac8d867419f7b693123f9","vio","2021-01-03 13:37:55","true","Merge pull request #1127 from relative-ci/tabs

feat(ui): Use tabs navigation",26,35,0
"relative-ci/bundle-stats","95888589d0d6e3cc10e83a22352f7c10bc95c66f","vio","2019-06-05 19:09:35","true","Merge pull request #134 from bundle-stats/renovate/storybook-monorepo

chore(deps): update storybook monorepo to v5.1.1",7,16,0
"relative-ci/bundle-stats","771bd30d71d2af8d6bd8a3c7ef88d3362e3b95eb","vio","2023-06-03 12:33:23","true","Merge pull request #3426 from relative-ci/remove-obsolete-dependency

fix(utils): Remove obsolete dependency",12,64,1
"relative-ci/bundle-stats","cfc038171f10c5cd9174deeb7bdd33aa62126790","vio","2023-01-09 17:56:24","false","chore: Regenerate lock files",15,59,1
"relative-ci/bundle-stats","c76ceb113e18b4873164a63688717977d138922f","vio","2019-07-19 16:55:13","false","feat(ui): Delta - use lighter colors for less than 5%",7,17,0
"relative-ci/bundle-stats","c3f10f4a69fabbedfefca01518735e079c518927","vio","2021-03-26 18:10:30","false","fix(ui): Loader - update colors",24,37,0
"relative-ci/bundle-stats","1c164a4211f78e0e1aede6b98575107bba15f70e","vio","2021-07-24 14:10:36","false","style: Eslint - warn on implicit-arrow-linebreak",22,41,0
"relative-ci/bundle-stats","107ea1cf1284405614fff5001f3ebe8dac39f51f","renovate-bot","2019-05-27 13:12:04","true","fix(deps): update dependency core-js to v3.1.3",8,15,0
"relative-ci/bundle-stats","f1c177f78ffcb9a755ff2ed083116d6a10b2d853","renovate-bot","2019-11-16 12:32:54","false","chore(deps): update dependency stylelint to v12",19,21,0
"relative-ci/bundle-stats","04770ef30ae10004a8c39a079b2b0fdffd9799a3","renovate-bot","2020-04-05 11:26:57","true","Update dependency stylelint to v13.3.0",28,26,0
"relative-ci/bundle-stats","030e25e1263b05bff30f6e577d99f240ebe7ebd0","vio","2019-10-12 15:27:02","false","fix(ui): Footer - github link to /relative-ci",8,20,0
"relative-ci/bundle-stats","1b7987de9c2afcef8479209542dd531921938f3d","vio","2019-11-09 14:43:39","false","refactor(utils): Exctract webpack stats path into a constant",19,21,0
"relative-ci/bundle-stats","429e00fb8c03c2b344a675b4837fc980b5f2500b","vio","2019-05-23 22:30:23","false","build: Prevent eslint errors due to npm link",4,15,0
"relative-ci/bundle-stats","3ed10b8494cdd3b0210d4759647df7520eb6faa9","vio","2019-08-31 14:37:02","false","feat: next-plugin",10,19,0
"relative-ci/bundle-stats","73d30f1195b4ad82f891522f827e01abacd193e7","vio","2021-07-10 15:29:37","false","build: Fix chroma setup",21,41,0
"relative-ci/bundle-stats","8ae27b9f4dd19b5343d3f06c1adecd1100c89fdf","vio","2023-04-11 21:16:54","false","doc: Update screenshot",12,62,1
"relative-ci/bundle-stats","ee67ae49af1949467439196458e64155492e9ea4","vio","2022-11-28 20:49:06","false","fix(ui): Explicit import from lodash",15,57,1
"relative-ci/bundle-stats","04b4fae5d16a79060096445735c9c8cb95d6f14e","vio","2020-01-09 07:08:56","false","fix(ui): BundleModules - show chunk name",16,23,0
"relative-ci/bundle-stats","d9c238e013658a4df76e2bc3f5d475a32b2de4e6","vio","2023-07-24 16:10:23","false","refactor: Consistent test name & dir structure",12,65,1
"relative-ci/bundle-stats","68fae44f226c00c93e2b2a2cecdcb30c372e3dc4","vio","2021-05-04 20:06:15","false","fix(utils): Filter - remove empty module chunks",23,39,0
"relative-ci/bundle-stats","4c3f8b86ed55db45f9378ddceef5d5275e21bfec","vio","2023-06-13 19:18:21","false","fix(ui): Icon - use currentColor for github",12,64,1
"relative-ci/bundle-stats","f476b4c1192cbd189160b3148042010345dafd2d","renovate-bot","2019-10-14 13:46:25","false","chore(deps): update dependency core-js to v3.3.2",8,20,0
"relative-ci/bundle-stats","85a8a8f351cc6ca7b9985fcaaa4967f9828f69b3","renovate-bot","2020-06-12 09:44:06","true","chore(deps): update dependency lint-staged to v10.2.10",23,28,0
"relative-ci/bundle-stats","596a9d43ed7f2cc1eaa13fed4498f3ad1238239f","renovate-bot","2020-04-10 15:45:19","true","chore(deps): update dependency css-loader to v3.5.2",27,26,0
"relative-ci/bundle-stats","855b3f6958d516d124f4a3de77819ceb603c1db3","renovate-bot","2019-10-29 13:10:58","false","chore(deps): update dependency preact to v10.0.4",21,20,0
"relative-ci/bundle-stats","2346336c90bb62fbe1595a90f55ff586d48997df","renovate-bot","2019-08-30 20:12:02","false","chore(deps): update dependency eslint to v6.3.0",10,19,0
"relative-ci/bundle-stats","1b9534b9f092915f933726ccb5f35162564d89b7","renovate-bot","2020-05-19 14:42:47","true","chore(deps): update dependency stylelint to v13.5.0",23,27,0
