"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core"
"pmmp/PocketMine-MP","c0e178c19cb4db05c7072dfd44e2557868dfadad","dktapps","2022-06-27 16:15:16","true","fix CS",57,69,1,1
"pmmp/PocketMine-MP","f560a6efeab214f1b74e56a18f8e78b293bcd7e5","dktapps","2018-11-11 11:24:23","false","Merge tag '3.2.7' into release/3.3",49,25,0,1
"pmmp/PocketMine-MP","fdfe70b9f282d8fe199fb230c21f0931894e5c80","dktapps","2017-10-08 18:10:49","false","Removed entity metadata setting from LoginPacket handler
why the f was this here",48,12,0,1
"pmmp/PocketMine-MP","743d91a67048a511e3d50b929ec9d91b256d27b0","dktapps","2019-03-03 12:38:19","false","Merge branch '3.6'",82,29,0,1
"pmmp/PocketMine-MP","6c1fec8a29bf1b2fe9be08262fca4e7adfdbaa58","dktapps","2021-08-27 19:32:07","true","Tree: renamed generateChunkHeight to generateTrunkHeight
I guess it must have been late at night when I originally wrote this code.",87,59,1,1
"pmmp/PocketMine-MP","e3833ba4f0f311bea9baa652da5ed8f5e97024b5","dktapps","2020-02-01 21:03:21","false","Merge branch 'stable'",105,40,0,1
"pmmp/PocketMine-MP","088fbf65b14a9c107dd8db7db41c0b4d3b6feaa8","dktapps","2019-04-24 18:54:57","false","Release 3.8.0",91,31,0,1
"pmmp/PocketMine-MP","be631ad6f7c0ecf36a913bfda9f4ee37e87e5e7d","dktapps","2017-04-21 19:31:47","false","Fixed disconnects properly",69,7,0,1
"pmmp/PocketMine-MP","dbaf7287bcd6ffda0e1dbe4f4f1f119a34b7390c","dktapps","2018-07-20 11:20:24","false","back to dev",49,22,0,1
"pmmp/PocketMine-MP","1bb6ac4fb676417ee0cede26ff0e90733c7b572d","dktapps","2021-11-26 23:20:40","true","Release 3.25.5",64,62,1,1
"pmmp/PocketMine-MP","7508524b7b0344101164a217a73190360aa21800","dktapps","2017-11-17 12:47:57","false","Arrange login sequence code in a bit more chronological order",54,14,0,1
"pmmp/PocketMine-MP","8be1f34736b93fb4697eb6d93ccc07ec66b6212e","dktapps","2021-09-05 12:36:40","true","Entity: Rename fall() to onHitGround(), and make it protected
this had no business being exposed to public API in the first place.",88,59,1,1
"pmmp/PocketMine-MP","3e141afe4881357b76fbe9f873914b9408994f9a","dktapps","2017-07-29 13:27:16","false","Exposed LoginPacket chain data to allow plugins to access this data",78,10,0,1
"pmmp/PocketMine-MP","d052b1a45f7f652e675cf3def93058a1666904e0","dktapps","2019-01-26 15:02:07","false","Server: reduce code duplication in broadcast handling",72,28,0,1
"pmmp/PocketMine-MP","f624e36faf2214fef76ad3b7148c17f7f7ff641f","dktapps","2020-01-31 15:49:33","false","composer: all of these packages are now available on packagist",105,40,0,1
"pmmp/PocketMine-MP","57e1509c3afecacaef0333b76f8b801e90ce788c","dktapps","2021-12-15 03:24:13","true","Updated translation APIs",66,62,1,1
"pmmp/PocketMine-MP","71e354cf1d0d262207c8db43641d28f59f9ffbdb","dktapps","2017-08-06 11:48:46","false","Added chest open/close sounds and cleanup duplicated code",67,10,0,1
"pmmp/PocketMine-MP","1d272255539e97ad45a809644f6254de7540f295","dktapps","2020-11-16 19:39:30","false","Relocate cache-related classes to mcpe\cache namespace",104,50,0,1
"pmmp/PocketMine-MP","d528fdddfabc9ff423077de02de877cdd69f27d0","dktapps","2019-02-28 16:20:58","false","DataPacket: Remove useless abstract function
this is declared in the Packet interface, so it doesn't need to be here anymore.",80,29,0,1
"pmmp/PocketMine-MP","692e63ad7cf2c97a3a85f60fc45f7816593b3cbe","dktapps","2020-12-08 20:31:17","false","Protocol changes for 1.16.200",104,50,0,1
"pmmp/PocketMine-MP","043e81e737f165cf6c39b0edb789393d14fe6625","dktapps","2023-03-21 00:26:19","true","4.18.0-ALPHA3 is next",45,78,1,1
"pmmp/PocketMine-MP","76c234e4e67cf6e9cadad2e1f7093a2f6e9e9ae5","dktapps","2019-04-21 13:15:38","false","add some limits on batches",91,31,0,1
"pmmp/PocketMine-MP","aa911835045c74a9360125a98e7222da35159b64","dktapps","2017-10-08 14:54:31","false","Added Durable class, fixed some tools not breaking correctly, removed some boilerplate code",48,12,0,1
"pmmp/PocketMine-MP","7abf50f50374ca984cd7665139202a1e89c7bf8a","dktapps","2021-05-17 19:54:51","true","World: Extracted a tickChunk() method from tickChunks()
most of what's left in tickChunks() is just selecting the chunks, rather than actually ticking them.",94,55,1,1
