"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core","first_commit","days_since_first"
"microsoft/azuredatastudio","07b2b8128a7df3a571a39b1706dad098e26ce4c2","smartguest","2021-11-03 18:55:26","true","[Loc] update to workspace trust xlf (#17584)",543,48,1,1,"2017-11-02 01:00:14","1462.75"
"microsoft/azuredatastudio","d4509a6528ad086a9dd57ab4c3b051385af924d6","aasimkhan30","2022-06-16 21:07:45","true","Removing truncation from tab header components to make it match the portal look (#19746)

* Fixing truncated tab headers

* Localizing changes to horizontal tab headers

* Remove max - width

* Reverting older changes",547,55,1,1,"2017-11-02 01:00:14","1685.84"
"microsoft/azuredatastudio","b194a5a784f4041ba48a2ba40ec1731428fa5846","aasimkhan30","2022-05-24 17:28:50","true","updating gulp-eslint (#19491)",574,55,1,1,"2017-11-02 01:00:14","1663.69"
"microsoft/azuredatastudio","88c9e0b4929abf68bd1804f2cc3ce05776a0ef32","smartguest","2023-05-02 00:20:51","true","[Loc] update to XLF on 5-1-2023 prior to code complete (#22921)",298,66,1,1,"2017-11-02 01:00:14","2006.22"
"microsoft/azuredatastudio","4d78aefe573a737a35b6685ecb3ab3b9d491c73f","aasimkhan30","2021-03-26 17:32:28","true","Fixing bugs for migration extension private preview 1. (#14872)

* Fixing Database backup page target layout

* Filtering out Azure sql db issues from assessment results
Correcting the database count for issued databases in sku rec page.

* Adding copy migration details button to migration status

* Adding start migration button to toolbar

* Fixing a syntax error in package.json

* Adding rg and location to target selection page
Filtering storage account by target location.

* Fixing dashboard title to azure sql migration

* Not making assessment targets selected by default.

* Adding tooltip for database and instance table items.

* Fixing duplicate task widget

* Some fixes mentioned in the PR
Localizing button text
renaming  a var
changing null to undefined.

* Adding enum for Migration target types

* Fixing a critical multi db migration bug because of unhandled race condition

* Adding Azure location api to azure core

* Adding source database info in status",1060,41,1,1,"2017-11-02 01:00:14","1240.44"
"microsoft/azuredatastudio","6bfa92936eef5e84593824aebc633472feaa611e","aasimkhan30","2023-11-03 16:49:45","true","Fixing dashboard tab loading for non activable extensions (#24871)",30,72,1,1,"2017-11-02 01:00:14","2193.16"
"microsoft/azuredatastudio","447b663945682cd8c467925ceed9551eadfd11e4","csigs","2022-01-07 17:19:37","true","LEGO: check in for main to temporary branch. (#18017)",567,50,1,1,"2017-11-02 01:00:14","1526.68"
"microsoft/azuredatastudio","58d5f317d37538384c5d4dccbe6dfae2f446cecc","csigs","2021-10-15 09:36:12","true","LEGO: check in for main to temporary branch. (#17368)",546,47,1,1,"2017-11-02 01:00:14","1439.11"
"microsoft/azuredatastudio","4b40d66bca7deebf428a0164854cf829568f02b9","Charles-Gagnon","2021-02-24 20:49:54","true","Add IconPath type (#14420)

* Add IconPath type

* Add ThemedIconPath subtype

* Update type",1045,40,1,1,"2017-11-02 01:00:14","1208.58"
"microsoft/azuredatastudio","ba85d370d6f842d6a834488b293662f9fd0c84b2","Charles-Gagnon","2020-10-09 17:15:45","true","Remove arc preview setting (#12850)",999,35,1,1,"2017-11-02 01:00:14","1068.18"
"microsoft/azuredatastudio","e97429cb74b9511320a752df50b0db808339503f","Charles-Gagnon","2021-03-10 23:03:14","true","Bump arc version (#14653)",1066,40,1,1,"2017-11-02 01:00:14","1224.67"
"microsoft/azuredatastudio","0a3d109073aec9898d884192f861a27e3ec982fb","alanrenmsft","2020-08-07 04:21:50","true","custom hint text (#11705)",972,33,1,1,"2017-11-02 01:00:14","1005.64"
"microsoft/azuredatastudio","a273c54ebb3cdb53cda2afdccd99a76497279053","alanrenmsft","2021-11-18 18:41:12","true","properties pane improvements (#17700)",545,49,1,1,"2017-11-02 01:00:14","1477.74"
"microsoft/azuredatastudio","d013b594b1fca878aeaaee7e3a7403b80f966053","alanrenmsft","2019-10-25 03:13:32","true","suppress the alert (#8007)",1165,24,0,1,"2017-11-02 01:00:14","718.34"
