"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci"
"Hamlib/Hamlib","5b6dfdb7b2bd0d4710cf9edb60d23d9107a6b041","malcolmh","2019-12-06 12:37:35","false","Merge remote-tracking branch 'Hamlib/master'",21,28,0
"Hamlib/Hamlib","e24f30198933437a0a11dd9e2181ee169fa2c918","mdblack98","2020-01-13 05:08:44","false","Fix cppcheck warning in elektor507.c",26,29,0
"Hamlib/Hamlib","30a8258f4ee3f5a3d639e2ac9eca06969641fd00","mdblack98","2021-02-27 20:27:07","false","Another attempt to fix elecraft K3 rigs to recognize VFOB being selected
https://github.com/Hamlib/Hamlib/issues/563",25,43,0
"Hamlib/Hamlib","8b541f3e0bddf64d5baf16396ee8b88c7183b9c7","mdblack98","2020-10-15 13:31:55","false","Fix debug statement in kenwood.c to show correct tvfo",18,38,0
"Hamlib/Hamlib","0016d5a93390636b6c453b75865f91e1cab9a697","mdblack98","2021-08-27 17:32:37","false","Move TARGETABLE_PTT logic to the set_ptt routine
https://github.com/Hamlib/Hamlib/issues/762
https://github.com/Hamlib/Hamlib/issues/430",21,49,1
"Hamlib/Hamlib","5b74438b7679221a96650cea7d6bf33421774c67","mdblack98","2021-03-18 22:11:19","false","DDon't do band select on FDX3000 -- seems to have a problem putting split on all the time",11,43,0
"Hamlib/Hamlib","786c1ae9256a437dfb101bd58ed303d4008e670e","mdblack98","2020-06-17 12:22:11","false","Change gs232b parsing to mandate at least AZ= and make EL= optional
This covers the 12PR1A rotor which claims gs232b compatibility
The 12PR1A also claims gs232a compability which is wrong as the AZ= EL= format is gs232b
https://github.com/Hamlib/Hamlib/issues/309
Simplify gs232a parsing but mandate both arguments in +0xxx+0xxx format",20,34,0
"Hamlib/Hamlib","1fdbebd7b2d489f0b8aa660c40e6e1c1dbc75e7c","mdblack98","2021-03-20 16:51:41","false","Fix rigctlcom VFOB set_freq
https://github.com/Hamlib/Hamlib/issues/620",11,43,0
"Hamlib/Hamlib","c21bc22bfc48970df98c7f80a090856293067d0a","mdblack98","2020-05-28 16:31:19","false","Merge branch 'kenwood-read-retries' of git://git.code.sf.net/u/bsomervi/hamlib",25,34,0
"Hamlib/Hamlib","c903c09cd1d4942ba413e787fd141af22c36b196","mdblack98","2023-02-06 17:11:17","false","Allo FT-857 to return cached vfo when set_vfo is called and EEPROM read error occurs
https://github.com/Hamlib/Hamlib/issues/1232",22,66,1
