"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core"
"synclounge/synclounge","6a2edf92b65ee3d557feeaceab7425a25cef4da8","ttshivers","2020-08-21 01:47:45","true","Copy from docker rather than from",10,44,0,0
"synclounge/synclounge","b59e8a8fca64fad74dc2c97499b3ca409da9f810","ttshivers","2020-06-02 23:25:41","false","Update packages",31,42,0,0
"synclounge/synclounge","7b0ffdf0eba3dec249d9e19d37ab62ee7ee76bb0","ttshivers","2020-06-07 19:05:55","false","Fixed variable error",30,42,0,0
"synclounge/synclounge","1d72bd4ce94676e68568d7ed982972d51279f3a6","samcm","2018-07-19 11:23:07","false","PMP Fix",10,19,0,1
"synclounge/synclounge","5cf2fa113d9edcb83d5f7d0cba78e1ff153ee058","ttshivers","2020-07-06 18:25:23","false","Fixed plex platform header for edge-chromium",15,43,0,0
"synclounge/synclounge","515080e4989952f902a1834a7b69dd16defe54ba","ttshivers","2020-07-09 02:19:24","false","Fixed rejoin",14,43,0,0
"synclounge/synclounge","6bfd01eea3c622d61a04a12717a3afe052023c17","ttshivers","2020-05-27 02:18:42","false","Update packages",36,42,0,0
"synclounge/synclounge","d32e94ac57ca51a06cb448ee09edcc31b08d7eff","samcm","2017-04-11 17:50:27","false","Added correct headers for signin",3,4,0,1
"synclounge/synclounge","e4142670afb8a82d27caf6afaf300fb0117c84e2","ttshivers","2020-06-23 01:49:02","false","Cleaning css",22,43,0,0
"synclounge/synclounge","8be98a987fe8f78863d23739260e91569d420cc9","samcm","2018-07-16 11:15:54","false","Accessurl",10,19,0,1
"synclounge/synclounge","c80622d326881ab08b032ff6f8439ca2eb6379d7","ttshivers","2020-08-09 18:38:30","true","Initial moving of packages",10,44,0,0
"synclounge/synclounge","6fdbdcc84fffb64fde303bb35351deec3ad63c0a","ttshivers","2020-06-23 02:13:58","false","Switch to more common minimist",22,43,0,0
"synclounge/synclounge","5fc2de7130d3800937ec8fea1bf63d6a3a530347","samcm","2018-07-13 09:31:19","false","Vuetify v1.1.4 fixes",10,19,0,1
"synclounge/synclounge","24027aac31c84a97abc246ff72dc8963c8be15ce","ttshivers","2020-10-01 02:35:21","true","Merge master into shiftleft_pr",6,46,1,0
"synclounge/synclounge","1bff0609e10cc4b4be8ffb6f4b8c1b868cb8cb20","ttshivers","2020-06-16 06:10:14","false","More style fixes",27,42,0,0
"synclounge/synclounge","2dc41f3748a2e0c1bcea5234fd58d0164e845f88","ttshivers","2020-06-07 05:22:11","false","Lint fixes",30,42,0,0
"synclounge/synclounge","5aa66de9023eac1114f4c0fe85630234f813961a","ttshivers","2020-09-30 22:17:19","true","Merge branch 'master' into ci_dependabot_version_strategy_increase",6,46,1,0
"synclounge/synclounge","33443082af596b2ae8ead79bdd96df26e1ed56d6","ttshivers","2020-08-01 02:59:45","true","Properly used offset to adjust subtitle clock",11,44,0,0
"synclounge/synclounge","8142e78f07ba35a8ce19590bf53411b914bef00e","samcm","2017-12-30 09:35:44","false","Missed rename in webapp",11,13,0,1
"synclounge/synclounge","2186ea00331d6c62065e52c32ceca8fa7f74e384","ttshivers","2020-07-23 21:05:16","true","Fix lint",11,44,0,0
"synclounge/synclounge","c6f48b326fb7155b1cf4620d3d946569ff3e4680","ttshivers","2020-10-01 02:14:58","true","ci(automerge): remove automerge label on merge",6,46,1,0
"synclounge/synclounge","6b60b64e281cfb4babbc0203d2b5f0fe5c3ee7ea","ttshivers","2020-06-04 07:55:36","false","Update vuetify",31,42,0,0
"synclounge/synclounge","322e17ca24187a7357132c18f6a81422cba30b24","samcm","2018-07-13 09:55:11","false","Choose your Plex Player updates",10,19,0,1
"synclounge/synclounge","35b4378d36e2197ca068bb43a432cefe75f19f94","samcm","2018-05-19 05:01:31","false","Invite links now work",7,17,0,1
"synclounge/synclounge","36c769d37cbff0108e7452e3bf315cbeffcaa096","samcm","2017-07-16 07:02:51","false","Dark mode fixes",7,7,0,1
"synclounge/synclounge","d2b9d2c683de2564cdd48595ffa249387fd2ec4b","samcm","2017-06-22 11:42:28","false","Further Music support + styling",5,7,0,1
"synclounge/synclounge","de3c2d25905df26a6ee457c4fd6cbeac9e64f901","ttshivers","2020-05-26 22:04:27","false","A bit of cleaning up",37,42,0,0
"synclounge/synclounge","d50309a4844e91ab924e2e7ee41069bb6adf53da","ttshivers","2020-06-07 06:02:23","false","Attempt adding travis",30,42,0,0
"synclounge/synclounge","b68d34eacdf68183a5580939f900fbd18a06c71b","ttshivers","2020-06-22 23:35:32","false","Added client picker to invite join page",22,43,0,0
"synclounge/synclounge","abb41448fd1cf554b2740c176158bcce98b84341","samcm","2018-05-24 06:19:27","false","SLPlayer overlay",7,18,0,1
"synclounge/synclounge","4e8d10d33e81e0460c73a93d584372749c98b536","ttshivers","2020-06-29 18:59:13","false","Cleaning up main styling",18,43,0,0
"synclounge/synclounge","bcdd0e91a4960b79d0308512bc1ea2dee0eb1c00","samcm","2018-05-18 08:10:51","false","SLPlayer direct stream/styling",7,17,0,1
"synclounge/synclounge","274abe98835bca9784f36f227f5dd265b4ac64a8","samcm","2018-01-30 07:17:43","false","More routing fixes",12,14,0,1
"synclounge/synclounge","3f13bdb3b0447f6100fda722d2fa1cb90c9115f7","samcm","2018-04-26 10:38:57","false","Heaps of frontend changes",11,17,0,1
"synclounge/synclounge","bce53b897160a3ebd86bb9bebda9e1e57dcddd11","ttshivers","2020-09-30 22:49:13","true","ci(dependabot): remove dev-docker scope",6,46,1,0
"synclounge/synclounge","76fcc9021da0d8661daeaa3520393c081bcb795c","ttshivers","2020-07-21 00:01:07","true","Add dockerfile",12,43,0,0
"synclounge/synclounge","93815ffe8444aecb6eaa1f7123a05e4edb88b2c3","ttshivers","2020-06-15 05:20:52","false","Fixing slplayer stuff. Everything is still broken. give me time pls",28,42,0,0
"synclounge/synclounge","cef4040a7261d4b3821201fa6293f5b6bf14a118","samcm","2018-07-14 13:24:22","false","Client logo resizing",10,19,0,1
"synclounge/synclounge","b94472a27da5f2c00ef52431a215eb6bffca1db9","ttshivers","2020-06-23 05:26:04","false","Made the plex auth window be directly caused by a click to avoid popup
blockers",22,43,0,0
"synclounge/synclounge","73a6e3019dc8c10d1e27ed84faa50e07e545bb02","ttshivers","2020-05-23 01:03:25","false","More work on fixing up config",37,42,0,0
"synclounge/synclounge","3e1bc72825c31e4f08eb8b0e0d2bf5567cdb569a","ttshivers","2020-07-04 00:13:23","false","Added time updater to sidebar to advance time",18,43,0,0
"synclounge/synclounge","28d64042a4bcd10edb4c1440c75ab0eb2a5bcf74","ttshivers","2020-06-23 02:10:09","false","Fixed loading locks",22,43,0,0
"synclounge/synclounge","e1a20afd3fd2ea62b75ff61c4ee9906ae1e1e2bb","ttshivers","2020-08-06 15:35:17","true","Create dependabot.yml",10,44,0,0
"synclounge/synclounge","ef9e774df02013effebfcf3bcfd8d16380b08cb1","ttshivers","2020-06-04 00:49:20","false","Removed old settings modal",31,42,0,0
"synclounge/synclounge","973fb0938abf493a5fc2c903254ffb204d283822","ttshivers","2020-06-30 06:29:23","true","Merge pull request #14 from ttshivers/nosocket

No socket server, Nconf",18,43,0,0
"synclounge/synclounge","3b1bfc2cbae40bbde1ef64002630b785609de22d","ttshivers","2020-05-28 07:13:20","false","Sidebar and message styling with new vuetify",36,42,0,0
"synclounge/synclounge","cae29cb634e8464e59c4e9d319ac529ac99a31f0","ttshivers","2020-05-29 02:51:20","false","Refactoring webplayer",35,42,0,0
"synclounge/synclounge","9134fd30838436799a40c43b87ca6fd4002762ae","ttshivers","2020-06-26 04:59:37","true","Merge pull request #6 from ttshivers/depfu/update/npm/vue-cli-plugin-vuetify-2.0.6

Update vue-cli-plugin-vuetify: 2.0.5 → 2.0.6 (patch)",21,43,0,0
"synclounge/synclounge","7200cde9bb7feaecfa674ba91374d6b42f376af1","gcordalis","2020-04-05 04:08:15","false","Safari Auth Fix + Login UI Improvements

- Updated the auth flow to conform with safari's ""non pop up"" requirement. This should be future proof for when other browsers follow suit.
- Modifed some copy + the design/layout of the join room flow.",37,40,0,0
