"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci"
"julianpoy/RecipeSage","cb3824569fbb9d0c9d155bde11ce32eb063dabb7","julianpoy","2020-02-01 19:47:06","false","Add env context to backend testgs",58,13,0
"julianpoy/RecipeSage","6339cf6a5e5f02e568f681f95a929abf48d67290","julianpoy","2019-11-09 00:11:43","false","Remove old references to SQLite test engine",55,10,0
"julianpoy/RecipeSage","d4e80e36fda360c9879739df444d02287ff0dc46","julianpoy","2019-11-02 20:13:15","false","Enable pager dots for image viewer",54,10,0
"julianpoy/RecipeSage","4df5bded82f90ef79523c84ac3e2dd2001af70a7","julianpoy","2019-05-16 04:41:57","true","Merge pull request #260 from julianpoy/fix-sw-update-async

Add error handling for async call to updateSW",48,4,0
"julianpoy/RecipeSage","c5f379f683d85b11bef2c9a80a6aab08fa04aa38","julianpoy","2020-01-04 22:36:27","false","Add support for ing + ing notation, preserve original delimiters",53,12,0
"julianpoy/RecipeSage","4ab0ac5486afdb4359aebc6a27375ddcb17f870c","julianpoy","2020-01-04 19:29:46","false","Add release note for fraction conversion",54,12,0
"julianpoy/RecipeSage","09269346538e0362fbe03fd3fc13f73e8951dd91","julianpoy","2020-12-22 20:28:28","false","Increase ingress timeout",44,23,0
"julianpoy/RecipeSage","c0b4e0088e3d7b1b802720eb10070687375b5d9a","julianpoy","2019-10-06 23:25:53","false","Fix fetchImage error catch",58,9,0
"julianpoy/RecipeSage","aad9e1db9612dee6eca4305ad1c0c7b16518244e","julianpoy","2019-01-17 06:53:39","false","WIP util tests",28,0,0
"julianpoy/RecipeSage","e61cbab608fba57583399f974981fe6f17f81082","julianpoy","2021-01-30 20:25:01","false","Enable preboot for browserless",44,25,0
"julianpoy/RecipeSage","af7065b0eaad0aed1fb120a15c9a09d37b8b8cbc","julianpoy","2019-02-13 23:24:07","false","Fixed crash when GM throws error",40,1,0
"julianpoy/RecipeSage","cbbcefd62b2d2aa7c616d04e64ca33989707ba28","julianpoy","2020-02-03 06:55:50","false","Finish API for merge, allow filtering label fetch by title",59,13,0
"julianpoy/RecipeSage","80c7379999ed7e5877fc9d8f67c5ec88fd4c0cd6","julianpoy","2019-03-03 17:56:47","false","Prep sequelize index for sequelize model specs",44,2,0
"julianpoy/RecipeSage","d4b828789761996bfbcb4c17af83706f11712ad8","julianpoy","2021-02-07 21:07:28","false","Import MiddlewareService for proxy",44,25,0
"julianpoy/RecipeSage","a057f6cedaa48d5d579e34c5eb75fd35b9c3cd25","julianpoy","2023-04-05 02:02:03","true","chore: create watchandrun.sh for better backend livereload",6,51,1
"julianpoy/RecipeSage","77beb405fd617dedf65637197fd59ce47b441e3a","julianpoy","2020-12-05 05:39:24","false","Use node 12 for circle",44,23,0
"julianpoy/RecipeSage","0730213196a7fca6384514f2bd50863ce969af81","julianpoy","2019-10-31 00:17:30","false","Improve ios styling for meal plan popover",59,10,0
"julianpoy/RecipeSage","8ceac2fcdeb19c1886f780bf4fd9ec5b8e6401b6","julianpoy","2019-03-17 03:13:24","false","Switched to count for inbox stat

This speeds things up a little bit",43,2,0
"julianpoy/RecipeSage","15e7b299d51c95d1dba6c3f197e67d8cbdff62e8","julianpoy","2020-06-07 23:34:17","false","Improve warnings for meal plan delete actions",45,17,0
"julianpoy/RecipeSage","6aa747aded90fdf58d6fdb13e32714d836315b4d","julianpoy","2019-12-05 06:05:44","false","WE: Fix build script",54,11,0
"julianpoy/RecipeSage","f3b587da732b69265e97b88815ec0d4d91975a2b","zaharchenko-yurka","2023-10-11 05:20:56","true","ua-uk.json translate settings menu",0,57,1
"julianpoy/RecipeSage","cdef02c5b5bd1a9dfce1de29b7eb8399e9213a66","zaharchenko-yurka","2023-10-08 14:31:45","true","Update ua-uk.json translated meal plan item details",0,57,1
"julianpoy/RecipeSage","a5ececf2ed4ad6af674331280f5de59fc40ae130","julianpoy","2019-05-27 21:26:17","false","Created recipe preview component",48,5,0
"julianpoy/RecipeSage","e7207a914d1f7fa52eb5fe56a4222db70183f4d9","julianpoy","2019-01-25 23:32:29","false","Enable shareRecipe spec for database check",30,1,0
"julianpoy/RecipeSage","d8192cff59d8448e3c9011c7c431f4848006cec8","julianpoy","2019-02-05 23:45:33","true","Merge pull request #155 from julianpoy/fix/#154-fix-puppeteer

Fix/#154 Fix puppeteer",42,1,0
"julianpoy/RecipeSage","bd4915e36a1e6c5998e4149c73b2a40520028777","julianpoy","2019-06-04 00:17:21","true","Merge pull request #268 from julianpoy/fix-webextension-sourceurl

Fix WebExtension source URL",50,5,0
"julianpoy/RecipeSage","e18c1eb753c8189c858325a63abae43f01bec8f5","julianpoy","2019-07-08 01:13:23","false","Add routing to home error handlers",54,6,0
"julianpoy/RecipeSage","002e9dc2c5d894ebd9db05b45d03368533740617","julianpoy","2020-03-04 06:58:49","false","Merge branch 'strip-ingredients' of github.com:julianpoy/recipesage into strip-ingredients",54,14,0
"julianpoy/RecipeSage","b4a83f16307d37b2001919f3ac69776d7fb01634","julianpoy","2019-04-19 21:12:15","false","WE 1.0.4 binary",53,3,0
"julianpoy/RecipeSage","43d074b8b3903c81c9f65a04c3295a1c623b0b18","julianpoy","2019-09-09 00:44:40","false","v2 Beta: Fix share modal existing conversations radio groups",61,8,0
"julianpoy/RecipeSage","0dcc1c72f99265f65cc10eb788e5af82d2bc5ffa","julianpoy","2019-06-06 02:20:06","false","Bump to 1.8.0 instead of 1.7.10",49,5,0
"julianpoy/RecipeSage","0f902f675063b70c36c74a4318f1b70531ffdef7","julianpoy","2019-10-31 03:39:20","false","Add autocompletion and autocapitalization to most form inputs",59,10,0
"julianpoy/RecipeSage","e35b13cddfa8795f136f74641fbc3569b0729bfb","julianpoy","2020-05-31 16:30:24","false","Use inline regex instead of full constructor for sw",45,17,0
"julianpoy/RecipeSage","51f6414495df62c2c9cf38315fbbdd1a0d578186","julianpoy","2020-05-31 17:17:23","true","Merge pull request #510 from julianpoy/fix-api-cache-2

Service worker updates",45,17,0
"julianpoy/RecipeSage","6c1464e6dae83a2bd3f17f2ec582542799c28d90","julianpoy","2020-01-14 07:12:52","false","Fix some db env var refs across containers",57,12,0
"julianpoy/RecipeSage","64ca8fb27a7322076a6d1b0a7f06908d40d5f818","julianpoy","2020-12-23 20:50:18","false","Use bash to execute deploy scripts",44,23,0
"julianpoy/RecipeSage","ae43b2bf48a634dc2ee00b89b0be370467d5c190","julianpoy","2019-11-04 03:33:02","false","Add multi image support for lcb import app",55,10,0
"julianpoy/RecipeSage","6836e31ce58da9594b61445f3bb481f0c2ef0045","zaharchenko-yurka","2023-10-06 06:32:29","true","ua-uk.json Translate labels management

Translate labels management",0,57,1
"julianpoy/RecipeSage","1c2f52a4783ca70cf8cea0474911e66b6c23bedd","julianpoy","2023-09-17 21:10:35","true","chore: bump prisma to 5.3.1 (#1089)",0,56,1
