"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core"
"aws/aws-sdk-js-v3","5e1d297895a7334ec75d2c5b78364546bb055f96","trivikr","2021-10-26 17:09:39","true","chore(clients): populate regionRegex in partitionHash (#2933)",255,55,1,1
"aws/aws-sdk-js-v3","f2dab561dd244b97e42beba4ea2b942ecae218c0","trivikr","2022-01-05 23:35:10","true","chore(scripts): remove devDeps defined in monorepo root (#3138)",256,57,1,1
"aws/aws-sdk-js-v3","e98872b174f147b69baceca793fba6ba29e293ac","trivikr","2020-01-06 19:07:14","false","feat: add client-savingsplans (#643)",51,33,0,1
"aws/aws-sdk-js-v3","5a865f00003f17fcc6896ee3b21dc98fe95ae51d","trivikr","2021-07-26 22:23:39","true","chore(smithy-client): emitWarningIfUnsupportedVersion (#2619)",232,52,1,1
"aws/aws-sdk-js-v3","0dd9cda1f8a6c32639a7b10309eb053fb862d7e0","AllanZhengYP","2019-01-28 23:00:11","true","Export more interfaces from command (#191)

* update codegen to export interfaces from command

* update sqs client

* add exclude entry to karma config",6,22,0,1
"aws/aws-sdk-js-v3","598e8b40c1a20010e87076e72e18cf22bf6fc485","trivikr","2019-08-23 17:50:33","true","chore: remove greenkeeper (#331)

We'll set up dependabot and use commands for ignoring versions
Link: https://dependabot.com/blog/ignoring-major-version-bumps/

Fixes: https://github.com/aws/aws-sdk-js-v3/issues/280",22,28,0,1
"aws/aws-sdk-js-v3","3440edcd47040667f5cfac64270bb6c8b067fa34","trivikr","2020-01-07 00:51:58","false","feat: add client-fsx (#656)",51,33,0,1
"aws/aws-sdk-js-v3","e0025cddbba244a41ddf1fd1adb761142e15c22d","trivikr","2021-09-29 18:01:10","true","feat(clients): move source files to 'src' folder (#2845)",253,54,1,1
"aws/aws-sdk-js-v3","9152e210c6ec29f34bb070eaf2874039022e6ab7","AllanZhengYP","2022-01-14 23:00:16","true","feat(clients): update clients to use default values inferred from defaults mode (#3192)",262,57,1,1
"aws/aws-sdk-js-v3","7acf18abd3fb1cc461f809110cdb0d7968c2070e","trivikr","2022-01-03 17:26:00","true","feat: end support for Node.js 10.x (#3122)",256,57,1,1
"aws/aws-sdk-js-v3","5e260dadb70c0c25da15d161a54a947ff2772005","AllanZhengYP","2021-11-18 00:58:20","true","test(e2e-legacy): import clients only when testing (#3033)",265,55,1,1
"aws/aws-sdk-js-v3","2730b5424377944a5a2ad5e1ad7d3ca4135dae1c","trivikr","2021-10-15 19:04:52","true","feat(clients): update clients as of 10/15/2021 (#2902)",252,54,1,1
"aws/aws-sdk-js-v3","d0182939bb463238257b3ee07178dbf1c7b61e6f","AllanZhengYP","2020-07-02 22:24:05","true","test: using existing resources in e2e tests (#1320)

* test(client-s3): support AWS_SMOKE_TEST_BUCKET env

* test(client-cognito-identity): using existing identity pool in e2e test",97,39,0,1
"aws/aws-sdk-js-v3","e6080b303b0934ecec36c9284e0530d4129bb79e","trivikr","2021-05-07 18:11:31","true","docs(copy-models): add README for using copy-models script (#2358)",209,49,1,1
"aws/aws-sdk-js-v3","858e35137dfa84e9bb4190f126f1c76f8d9f7ea3","kstich","2020-02-26 20:16:33","true","Fix early return on empty xml tag (#953)",70,34,0,0
"aws/aws-sdk-js-v3","8b4efe5545b75b3812a63a9b34f2a0ee8c86f7ca","trivikr","2020-01-14 05:28:08","true","feat: add rest-xml clients (#728)",59,33,0,1
"aws/aws-sdk-js-v3","1bd56b66b76de5728987fcf9657654523c290c5f","trivikr","2021-10-28 16:57:02","true","fix(node-config-provider): allow undefined for booleanSelector obj keys (#2945)",255,55,1,1
"aws/aws-sdk-js-v3","96d02eccf5ee39460b1cbc5f8ef3059675ab5c84","trivikr","2019-12-08 23:26:54","false","feat: integ tests for device-farm from v2 (#527)",40,32,0,1
"aws/aws-sdk-js-v3","923d7c60407856be9025df2c6a0c43624dd27105","kstich","2020-03-27 20:39:33","false","Update to Smithy 0.9.8",59,35,0,0
"aws/aws-sdk-js-v3","f5ce61a985ee5da6461c4c6161a2a3c36f438483","kuhe","2023-06-07 17:57:37","true","fix(node-http-handler): begin socket timeout countdown before socket event (#4804)",121,74,1,1
"aws/aws-sdk-js-v3","1515efd98027b791fd351c10939ca4e1b1068fce","trivikr","2020-01-07 00:51:11","false","feat: add client-emr (#656)",51,33,0,1
"aws/aws-sdk-js-v3","4e31b7df4737f79689a58b0702557a5135a037b3","trivikr","2020-07-07 06:20:10","true","chore(deps-dev): bump @types/jest to 26.0.4 (#1334)",97,39,0,1
"aws/aws-sdk-js-v3","5bdb7d2b7f44ddfc933d22b0a9329332799c6131","trivikr","2020-01-07 00:54:12","false","feat: add client-opsworks (#656)",51,33,0,1
"aws/aws-sdk-js-v3","30af3f29307334840f129ffd505593a19108568e","itscharlieliu","2021-05-28 14:44:12","true","docs(lib-storage): fix typo paralell -> parallel (#2401)",215,50,1,0
