"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci"
"lf-lang/lingua-franca","2725006c7744b963a1fc047533bf278de563699d","MattEWeber","2020-07-22 20:53:55","false","Merge branch 'master' of https://github.com/icyphy/lingua-franca into ProtoBuffTS",33,20,0
"lf-lang/lingua-franca","89043cbeabe687ae11e66f0a7bba9f4a381c347f","MattEWeber","2020-06-23 20:32:59","false","Refactored RTI code generation and compilation from CGenerator into GeneratorBase so it can also be done in TypeScriptGenerator.",34,19,0
"lf-lang/lingua-franca","bce33c8bf97e5100b0b92ba41d1077124215ab09","MattEWeber","2020-01-27 23:54:01","false","Corrected duplicate uses in test.",28,15,0
"lf-lang/lingua-franca","4cb956bc9439fb3475350e810f9bdc46fa67fcc1","MattEWeber","2020-02-24 21:32:00","false","Translated ArrayAsParameter test to TS.",32,16,0
"lf-lang/lingua-franca","0109cad94d917b4da117c0855f953c1eca6f1a83","MattEWeber","2020-04-18 00:38:55","false","Updated TS generator to allow custom command-line arguments with automatically generated usage information.",32,17,0
"lf-lang/lingua-franca","af926162a9f62ea86fdc359085b799ca5c6abe20","lhstrh","2023-09-29 20:41:50","true","Another obscure nullcheck",17,59,1
"lf-lang/lingua-franca","ab054f0e9b45b8cf9b9e853e0b525cd2d90f9d36","lhstrh","2023-04-28 05:18:12","true","Comments",53,54,1
"lf-lang/lingua-franca","25c876b8b05642743de58a5cf0cd06174f3d7cc0","lhstrh","2022-01-21 08:02:59","true","Update MANIFEST.MF

Remove version numbers from log4j (as it was originally)",65,38,1
"lf-lang/lingua-franca","e4567a4a18bf3d27aa6ab1d587b508915b5bf36f","lhstrh","2022-03-11 00:31:48","true","Merge pull request #1011 from lf-lang/xtend-to-java-c-generator

Partial refactoring and porting to Java of `CGenerator.xtend`",56,40,1
"lf-lang/lingua-franca","d3870a9058dc9f0705c98868c02bc9b0b189366d","lhstrh","2021-08-31 18:32:09","true","Merge pull request #480 from oowekyala/better-messages

Fix error message display when line has tabs",62,34,0
"lf-lang/lingua-franca","9ce830874d5eccd909ffffe8569005b904122bec","lhstrh","2020-10-28 20:53:02","false","Forgot to save changed when resolving conflict.",33,24,0
"lf-lang/lingua-franca","08ed693e874c717bc43f1d3c3db3f3b1be1d8295","lhstrh","2022-01-25 00:30:41","false","Move template link to examples",64,39,1
