"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core","first_commit","days_since_first"
"umijs/umi","84e494042f5040cb33380365563632fe496682d2","sibyo","2020-12-22 03:39:23","true","docs: environemtns to environments (#5865)",315,37,1,0,"2017-11-27 08:46:28","1120.54"
"umijs/umi","44f87ebb149690436ae4fc40193051f833e3e133","leftstick","2020-04-01 09:27:57","true","docs: details of #4311 (#4356)",172,28,1,0,"2017-11-27 08:46:28","854.53"
"umijs/umi","425c9f32a4c05ae0e2edb6a07fd250d2164e07b1","chenshuai2144","2019-07-19 00:42:34","false","support auto select fast github (#2829)",95,20,0,1,"2017-11-27 08:46:28","596.91"
"umijs/umi","527240cc3f67cfe141e351f9a8cc1059568f4e34","sorrycc","2018-01-26 02:48:18","false","doc: update CHANGELOG.md",23,2,0,1,"2017-11-27 08:46:28","58.75"
"umijs/umi","488fe4eb91db92941b78ccf20461cb4c5138313f","ycjcl868","2020-07-29 10:35:29","false","release: v3.2.13",356,32,1,1,"2017-11-27 08:46:28","972.58"
"umijs/umi","7e3a8b669fb0ae3ee495320a86609724283bea58","Dunqing","2022-02-11 13:11:16","false","fix: demo not work (#354)

Co-authored-by: dengqing <qing.deng@goldenpig.com.cn>
Co-authored-by: chencheng (云谦) <sorrycc@gmail.com>",365,50,1,0,"2017-11-27 08:46:28","1535.18"
"umijs/umi","1926795840091c486cfa238796107f8f58ef5a10","yuaanlin","2022-03-04 09:27:11","false","feat: API routes (#400)

* feat(api-route): Add examples API routes to examples/boilerplate

* feat(api-route): Add type declarations of API routes feature

* feat(api-route): Add example API route middleware in example/boilerplate

* feat(api-route): Generate tmpFiles of API routes on `umi build`

* feat(api-route): Move api directory to ""src/api"" instead of ""src/pages/api""

* feat(api-route): Fix CI failed due to new example without update lock file

* feat(api-route): Bundle generated files into final result for Vercel serverless function

* feat(api-route): Change api route bundle output dir to "".output/server/pages/api""

* feat(api-route): Add UmiApiRequest and UmiApiResponse

* feat(api-route): Remove dynamic route from api-route-demo since it is not support currently

* feat(api-route): Update gitignore path from ""examples/*/api"" to ""examples/*/.output""

* feat(api-route): Encapsulate api-route into a feature of preset-umi and add configuration

* feat(api-route): ""Import type instead of just import

Co-authored-by: Yingci <59400654+fz6m@users.noreply.github.com>

* feat(api-route): Use English in warning messages

* feat(api-route): Improve path expressions

* feat(api-route): Move config checking into api.describe.enableBy

* feat(api-route): Add API route adapter for Umi Dev Server (`umi dev`)

* feat(api-route): Add esbuild plugin to ignore path prefix ""@fs""

* feat(api-route): Fix CI failed due to lock file problem

* feat(api-route): Fix CI failed due to lock file problem

* feat(api-route): Fix CI failed due to lock file problem

* feat(api-route): Fix build failed due to recursive import

* feat(api-route): Fix API route match problem with trailing slash

* feat(api-route): Watch API route file changes in dev mode

* feat(api-route): Add some API route example usages

* feat(api-route): Remove unused function in bundler-esbuild

Co-authored-by: Yingci <59400654+fz6m@users.noreply.github.com>
Co-authored-by: chencheng (云谦) <sorrycc@gmail.com>",386,51,1,0,"2017-11-27 08:46:28","1558.03"
"umijs/umi","3f43e46728aa2b04690b1f5fe82716c1c246ecde","sorrycc","2022-02-16 03:23:42","false","feat: plugins support windows",368,51,1,1,"2017-11-27 08:46:28","1539.78"
"umijs/umi","b9834baf98430752db1d6db6b25d36c5784ea59f","ycjcl868","2019-08-27 08:42:49","false","upd: yarn lock",85,21,0,1,"2017-11-27 08:46:28","635.25"
"umijs/umi","8aeb868329eb75143f5ce9dfc5a61d297c849349","sorrycc","2017-12-14 09:44:29","false","feat: support config.extraBabelIncludes",11,1,0,1,"2017-11-27 08:46:28","17.04"
