"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core"
"SUI-Components/sui","2a929fd63c2e9ae81ae2bfcbfeef4fc7506501c2","carlosvillu","2017-10-23 21:36:39","false","feat(sui-widget-embedder): created Widgets components",9,4,0,1
"SUI-Components/sui","663e81f1aedd4bd3d289eb095da203290d7ae285","midudev","2021-09-08 14:12:00","false","feat(packages/sui-studio): Reuse sui-test version if available",7,51,1,1
"SUI-Components/sui","74063cb2fdd7697d9fe4f2b8fe7fea72f44cd7bc","sui-bot","2022-02-01 10:40:37","false","release(packages/sui-precommit): v3.0.0 [skip ci]",1,55,1,1
"SUI-Components/sui","621e364d2d8793a673387240ed1c30f137089399","giodelabarrera","2023-02-08 10:25:39","false","chore(packages/sui-js-compiler): add jest beta tag",0,68,1,0
"SUI-Components/sui","d9751a31e35f62f4b342f87c2a57b0c1f7d046e1","midudev","2020-04-15 14:49:13","false","feat(sui-react-router): add hooks",9,34,0,1
"SUI-Components/sui","14d1fb008f5218f929cdd50411be871b88f20194","midudev","2018-12-12 22:30:35","false","fix(sui-widget-embedder): fix blank space",35,18,0,1
"SUI-Components/sui","616ba2bf9b08dffbe884d5b5b82558f52a8fce22","jcger","2020-05-05 14:49:52","false","refactor(sui-changelog): strategy factory is a function now",9,35,0,1
"SUI-Components/sui","a4b411990b8673669e847cb18780144455838bb5","sui-bot","2022-03-28 08:49:47","false","release(packages/sui-test): v8.6.0 [skip ci]",1,57,1,1
"SUI-Components/sui","a8b34de66218663dbe256ae84049920f2c82f9a6","midudev","2021-07-16 11:06:05","false","feat(packages/sui-ci): Add more logging",7,49,1,1
"SUI-Components/sui","c1fd37a12ae5bb539db3a0ad1678d5830ea0027b","midudev","2020-09-23 16:53:42","false","feat(sui-studio): use new dev styling",6,39,0,1
"SUI-Components/sui","6124f8e5e72bee1fb0f64ee6972eac021f4c0b1a","jcger","2020-09-02 07:57:40","false","refactor(sui-pde): remove console.log",6,39,0,1
"SUI-Components/sui","fee39e6151ec0ac2b27d18332e41bb22d59acbfa","midudev","2022-07-12 08:51:27","true","Update CODEOWNERS",1,61,1,1
"SUI-Components/sui","63f2408237f7ac977f9b7a338e0c9c9fb7da88a1","davidbarna","2018-08-31 09:32:41","false","release(sui-test): v1.13.0",33,15,0,0
"SUI-Components/sui","38d9da8360577750ec7922713af288102afc9532","sui-bot","2020-05-21 10:04:34","false","release(sui-bundler): v5.49.0",9,35,0,1
"SUI-Components/sui","f4daf13f5c20709e9a669ee535067efcc189955f","sui-bot","2020-04-23 06:53:32","false","release(sui-ssr): v6.5.0",9,34,0,1
"SUI-Components/sui","ed76e734fab5bb67e8b49f2a1575778c6938acd1","midudev","2020-12-02 15:48:18","false","test(sui-helpers): add packages tests",6,42,1,1
"SUI-Components/sui","b5af574da09474c14fb8a4bf3b7baaec3ae5dea3","carlosvillu","2020-06-18 13:20:09","false","feat(sui-bundler): bump version",10,36,0,1
"SUI-Components/sui","6a1dac83fafa91593109766121b257e1f3b36a56","midudev","2018-04-30 14:54:27","false","refactor(sui-mono): remove useless method",16,10,0,1
"SUI-Components/sui","d2b183d172753c0ff0df53c4c5936d77a9a9ae39","sui-bot","2022-03-03 09:15:41","false","release(packages/sui-test-contract): v1.3.0 [skip ci]",1,57,1,1
"SUI-Components/sui","76773b70dbf3ce6bc2b104ed1270440582da37da","javiauso","2021-08-17 06:27:55","false","feat(sui-studio): add link package short alias",7,50,1,0
"SUI-Components/sui","ac28a3189a2199c06565ba41c6cc1ccb76ef7fc0","midudev","2020-11-23 12:52:08","false","feat(sui-ssr): remove prpl code",6,41,1,1
"SUI-Components/sui","967817db773f666a75d6ca3dba0fd70f1afa7dd2","carlosvillu","2018-04-04 17:46:45","false","release(sui-react-initial-props): v1.5.0",15,10,0,1
"SUI-Components/sui","cdee0ac9f6e855a8594c42e0fabc4b7de22e14a2","devictoribero","2018-08-10 08:36:02","false","Readme updated with a use case that throws error (when parameters of the requests dont have the same order)",31,14,0,0
"SUI-Components/sui","4bc24c2eff61603cf59aa1fdc80d46aac1000df8","JoanClaret","2017-11-14 08:41:58","false","feat(sui-js): remove unused dependencies",12,5,0,0
"SUI-Components/sui","2eb0cf82d0884b42a6253e0aebc63eebb26cecc5","kikoruiz","2019-07-22 09:37:14","false","fix(sui-analytics): put back single quotes",10,25,0,1
"SUI-Components/sui","da3cdc0a37002e71ad17c6f67907234fd16b8709","sui-bot","2020-06-23 22:24:03","false","release(sui-test): v3.2.0",10,36,0,1
"SUI-Components/sui","fc15daac4e934fa719dab5bbf114d6e83484fea9","stivaliserna","2021-06-04 09:31:55","false","feat(packages/sui-js): Use nanoid instead",7,48,1,0
"SUI-Components/sui","e2156d9d7122d8f7db33c4745406305b1fc16149","carlosvillu","2019-02-15 08:15:25","false","release(sui-js): v1.22.0",9,20,0,1
"SUI-Components/sui","0125d8a2a89cc0cbcbff42a77b3426acd2bdbcd2","sui-bot","2021-09-22 09:56:51","false","release(packages/sui-lint): v3.35.0 [skip ci]",0,51,1,1
"SUI-Components/sui","cb852e669767a45140f0ac0b2301fde82045fb62","midudev","2019-03-19 10:59:04","false","chore(META): change job name",10,21,0,1
"SUI-Components/sui","38eda29fa9c2adab9be90d5cf2936f4091d43a83","andresz1","2021-10-05 12:03:04","false","feat(packages/sui-i18n): support custom culture in n and c",0,52,1,0
"SUI-Components/sui","3e859b62f4dd8032c46a161521423ae31d0e8a60","midudev","2020-04-20 11:33:39","false","refactor(sui-react-router): remove not needed code on Tree file",9,34,0,1
"SUI-Components/sui","20687f0473c2465bc1a15437473915a589c06f14","kikoruiz","2019-05-16 14:08:18","false","fix(sui-ssr): remove not needed config data and fix some issues",11,23,0,1
"SUI-Components/sui","988eb62c8b833878a0ee60e7f92990147297bd4d","midudev","2018-03-17 03:09:24","false","feat(sui-bundler): update dependencies",14,9,0,1
"SUI-Components/sui","ff4ec742c0319a2a26c6d79b004635e33fb50667","jcger","2022-04-29 10:53:39","false","feat(packages/sui-pde): proxy the adapterId, consents apply to all instances, generate adapters on i",1,58,1,1
"SUI-Components/sui","fe7c93a811469a1e1946bf61023334dee5e8fe3e","jcger","2020-09-18 07:42:33","false","feat(sui-pde): pass by instance options and activate attributes",6,39,0,1
"SUI-Components/sui","ae71607264b05e1a071272cfb1cff9903332193f","sui-bot","2021-06-16 11:58:44","false","release(packages/sui-studio): v10.15.0 [skip ci]",7,48,1,1
"SUI-Components/sui","fab58485d3a2bdb8e6b4621c7295459e208d4579","sui-bot","2022-02-16 11:18:55","false","release(packages/babel-preset-sui): v3.36.0 [skip ci]",1,56,1,1
